xxxxxx      
SV=25.0,P=10.0,I=60,D=0,MR=0.0,Hys=0.0,H/C=0,Typ=0,
DateTime,PV(ch1),SV,MV,ch2,ch3,ch4,cjt,Stop/Run,Auto/Manual,P_MV,I_MV,D_MV,En
2022/02/12 10:58:30.479,21.0,25.0,71.5,30.2,20.1,20.1,19.2,Run,Auto,39.7,31.8,0.0,3.9
2022/02/12 10:58:32.494,21.0,25.0,72.5,30.6,20.2,20.2,19.2,Run,Auto,39.3,33.1,0.0,3.9
2022/02/12 10:58:34.494,21.1,25.0,73.3,30.6,20.2,20.3,19.2,Run,Auto,38.8,34.4,0.0,3.8
2022/02/12 10:58:36.498,21.0,25.0,74.9,30.9,20.4,20.3,19.2,Run,Auto,39.2,35.7,0.0,3.9
2022/02/12 10:58:38.498,21.1,25.0,75.4,31.1,20.4,20.3,19.2,Run,Auto,38.3,37.0,0.0,3.8
2022/02/12 10:58:40.503,21.1,25.0,76.8,31.4,20.6,20.4,19.2,Run,Auto,38.5,38.3,0.0,3.8
2022/02/12 10:58:42.503,21.2,25.0,76.9,31.5,20.7,20.4,19.2,Run,Auto,37.3,39.5,0.0,3.7
2022/02/12 10:58:44.503,21.2,25.0,77.8,31.7,20.7,20.4,19.2,Run,Auto,37.0,40.8,0.0,3.7
2022/02/12 10:58:46.508,21.4,25.0,77.1,32.0,20.9,20.5,19.2,Run,Auto,35.1,42.0,0.0,3.5
2022/02/12 10:58:48.507,21.5,25.0,78.1,32.2,21.0,20.6,19.2,Run,Auto,34.9,43.1,0.0,3.4
2022/02/12 10:58:50.512,21.7,25.0,77.2,32.3,21.0,20.6,19.2,Run,Auto,32.9,44.3,0.0,3.2
2022/02/12 10:58:52.512,21.9,25.0,76.0,32.6,21.1,20.7,19.2,Run,Auto,30.6,45.3,0.0,3.0
2022/02/12 10:58:54.512,22.1,25.0,74.7,32.7,21.3,20.7,19.2,Run,Auto,28.3,46.3,0.0,2.8
2022/02/12 10:58:56.517,22.2,25.0,74.2,32.8,21.3,20.8,19.2,Run,Auto,27.0,47.2,0.0,2.7
2022/02/12 10:58:58.517,22.4,25.0,73.7,32.8,21.4,20.8,19.2,Run,Auto,25.6,48.1,0.0,2.5
